name,address
Isla Vista Food Cooperative,"6575 Seville Rd. Isla Vista, CA"
Isla Vista Market,"939 Embarcadero Del Mar, Isla Vista, CA"
IV Deli Mart,"6549 Pardall Rd. Suite C, Isla Vista, CA"
Keg N Bottle,"915 Embarcadero Del Mar, Isla Vista, CA"
Six Pak Shop,"6580 Pardall Rd. Isla Vista, CA"
SOS Liquor,"956 Embarcadero Del Norte, Isla Vista, CA"
7-Eleven,"6545 Trigo Rd, Isla Vista, CA"
